year,title,authors,decision,confidence,matched_terms,url
2025,PICASO: Permutation-Invariant Context Composition with State Space Models,"Tian Yu Liu, Alessandro Achille, Matthew Trager, Aditya Golatkar, Luca Zancato, Stefano Soatto",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=88TC1AWV27
2025,Simple Guidance Mechanisms for Discrete Diffusion Models,"Yair Schiff, Subham Sekhar Sahoo, Hao Phung, Guanghan Wang, Sam Boshar, Hugo Dalla-torre, Bernardo P de Almeida, Alexander M Rush, Thomas PIERROT, Volodymyr Kuleshov",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=i5MrJ6g5G1
2025,Transformers are Universal In-context Learners,"Takashi Furuya, Maarten V. de Hoop, Gabriel Peyré",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=6S4WQD1LZR
2025,Deep Linear Probe Generators for Weight Space Learning,"Jonathan Kahana, Eliahu Horwitz, Imri Shuval, Yedid Hoshen",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=XoYdD3m0mv
2025,Estimation of single-cell and tissue perturbation effect in spatial transcriptomics via Spatial Causal Disentanglement,"Stathis Megas, Daniel G. Chen, Krzysztof Polanski, Moshe Eliasof, Carola-Bibiane Schönlieb, Sarah A Teichmann",ICLR 2025 Poster,high,gene regulat; single-cell; transcriptom,https://openreview.net/forum?id=Tqdsruwyac
2025,REVISITING MULTI-PERMUTATION EQUIVARIANCE THROUGH THE LENS OF IRREDUCIBLE REPRESENTATIONS,"Yonatan Sverdlov, Ido Springer, Nadav Dym",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=4v4nmYWzBa
2025,Differential Transformer,"Tianzhu Ye, Li Dong, Yuqing Xia, Yutao Sun, Yi Zhu, Gao Huang, Furu Wei",ICLR 2025 Oral,low,mutation,https://openreview.net/forum?id=OvoCm1gGhN
2025,On Designing General and Expressive Quantum Graph Neural Networks with Applications to MILP Instance Representation,"Xinyu Ye, Hao Xiong, Jianhao Huang, Ziang Chen, Jia Wang, Junchi Yan",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=IQi8JOqLuv
2025,Merging LoRAs like Playing LEGO: Pushing the Modularity of LoRA to Extremes Through Rank-Wise Clustering,"Ziyu Zhao, Tao Shen, Didi Zhu, Zexi Li, Jing Su, Xuwu Wang, Fei Wu",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=j6fsbpAllN
2025,REEF: Representation Encoding Fingerprints for Large Language Models,"Jie Zhang, Dongrui Liu, Chen Qian, Linfeng Zhang, Yong Liu, Yu Qiao, Jing Shao",ICLR 2025 Oral,low,mutation,https://openreview.net/forum?id=SnDmPkOJ0T
2025,PPT: Patch Order Do Matters In Time Series Pretext Task,"Jaeho Kim, Kwangryeol Park, Sukmin Yun, Seulki Lee",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=7zwIEbSTDy
2025,Deep Signature: Characterization of Large-Scale Molecular Dynamics,"Tiexin Qin, Mengxu ZHU, Chunyang Li, Terry Lyons, Hong Yan, Haoliang Li",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=xayT1nn8Mg
2025,Revisiting Convolution Architecture in the Realm of DNA Foundation Models,"Yu Bo, Weian Mao, Yanjun Shao, Weiqiang Bai, Peng Ye, Xinzhu Ma, Junbo Zhao, Hao Chen, Chunhua Shen",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=B07dLVWLyD
2025,Not-So-Optimal Transport Flows for 3D Point Cloud Generation,"Ka-Hei Hui, Chao Liu, Xiaohui Zeng, Chi-Wing Fu, Arash Vahdat",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=62Ff8LDAJZ
2025,Deep Incomplete Multi-view Learning via Cyclic Permutation of VAEs,"Xin Gao, Jian Pu",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=s4MwstmB8o
